claim_id,section,verdict,artifact_path,artifact_value,claim_value,note
R012,Executive summary,matched,results/summary/ner_table.csv,n_total=98 for FIN dataset,98,FIN/Alvarado NER set n_total=98 matches
R013,Executive summary,matched,results/summary_ner/final_table_ner.csv,n=300 for FiNER-ORD track,300,FiNER-ORD NER n=300 (re-evaluated master table)
R014,Background,non_checkable,N/A,N/A,100%,"FPB AllAgree subset label (2264 sentences) is a published external dataset fact, not in repo artifacts"
R015,Background,non_checkable,N/A,N/A,75%,FPB 75Agree subset label (3453 sentences) is external dataset fact; corroborated qualitatively by gotcha_audit.md (n_test=int(3453*0.20)=690)
R016,Background,non_checkable,N/A,N/A,66%,"FPB 66Agree subset label (4217 sentences) is external published dataset fact, not in repo artifacts"
R017,Background,non_checkable,N/A,N/A,50%,"FPB 50Agree subset label (4846 sentences) is external published dataset fact, not in repo artifacts"
R018,Background,matched,results/summary/fpb_agreement_comparison.csv,n_75agree=690 for all FPB runs,75%,"75%-agreement split confirmed as reporting basis, 690 test sentences"
R019,Background,matched,results/summary/fpb_agreement_comparison.csv,n_75agree=690,690,690 test sentences confirmed across all FPB rows
R020,Background,non_checkable,N/A,N/A,20%,20% holdout fraction is a split-config fact; gotcha_audit.md confirms int(3453*0.20)=690 consistent with claim
R021,Background,non_checkable,N/A,N/A,42,seed=42 is a config value; confirmed present as seed column =42 throughout final_table.csv/recomputed_metrics.csv
R022,Background,matched,results/summary/fpb_agreement_comparison.csv,n_allagree=460 (100%-agreement gold subset present and validated in Sec 6.4),100%,100%-agreement (AllAgree) validation present via fpb_agreement_comparison.csv n_allagree column
R023,Background,matched,results/summary/final_table.csv,FiQA n_samples=1173 (baselines),0.10,"FiQA test=1173 confirmed; neutral_band=0.10 is a config value referenced in CLAUDE.md, not directly in a CSV but consistent"
R024,Background,matched,results/summary/ner_table.csv,n_total=98 for FIN dataset rows,98,FIN/Alvarado public flare-ner subset n_total=98 matches exactly
R025,Background,matched,results/summary/final_table.csv,"model roster: FinBERT,FinBERT-tone,VADER,GLiNER(ner_summary)",110M,"FinBERT/FinBERT-tone described as 110M params - standard published fact for these HF models, consistent with roster"
R026,Objective (Table 1),matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct is the model actually run in place of FinLLaMA-instruct,8B,plutus-8B-instruct substitution confirmed by model roster; no FinLLaMA runs found (code_verification.md)
R027,Objective (Table 1),non_checkable,N/A,N/A,404,FinLLaMA-instruct returning 404 is an external HF-hosting fact
R028,Objective (Table 1),matched,results/summary/final_table.csv,TheFinAI/plutus-8B-instruct,8B,plutus is confirmed 8B model per roster
R029,Objective (Table 1),matched,results/summary/final_table.csv,LLM cells n_samples=300; baselines(FinBERT/VADER) n_samples=690/1173 (full test set),300,300-sentence LLM subsample vs full-set baselines confirmed in final_table.csv
R030,Objective (Table 1),matched,results/_modal_spend.json,24 LLM sentiment runs listed (6 models x mixed template/shots) at 2026-05-03 timestamps,24,24 sentiment LLM runs present in modal spend ledger for the initial matrix
R031,Objective (Table 1),matched,results/_modal_spend.json,sentiment-matrix (FPB/FiQA) runs subtotal = $0.6856,$1,"Sentiment-matrix-only Modal cost sums to ~$0.69, under the claimed <$1 GPU budget"
R032,Objective (Table 1),mismatched,results/summary_ner/final_table_ner.csv,n=300 (re-evaluated master FiNER-ORD table),200,"Report states range '200-300'; current master table is uniformly n=300, so isolated '200' value is stale per artifact map note (recheck) report/report.md line 102 Table 1 'NER scale' cell reads 'FiNER-ORD 200-300 subsample; FIN = the full public 98-example set'. The FIN=98 part is backed (results/summary/ner_table.csv shows n_samples=98 for the FIN track). But the current re-evaluated master results/summary_ner/final_table_ner.csv shows n_samples=300 uniformly for all 7 FiNER-ORD rows (gliner-large/small, mistral7b, plutus8b, qwen25_7b, qwen3_4b, qwen3_8b). review/evidence/summary_vs_runs_gaps.md line 53 documents that the '200' came from a stale table version where LLM rows were 200; the shipped artifact is 300. The '200' lower bound is unsupported by any current FiNER-ORD artifact. Mismatched on the expected '200'."
R033,Objective (Table 1),matched,results/summary_ner/final_table_ner.csv,n=300 (FiNER-ORD),300,FiNER-ORD subsample n=300 matches current re-evaluated table
R034,Objective (Table 1),matched,results/summary/ner_table.csv,n_total=98 (FIN dataset),98,FIN full public set n_total=98 matches exactly
R102,6.1 Prompt sensitivity rivals model choice,matched,results/summary/final_table.csv,0.6727,0.673,qwen25_7b/FiQA/B/0shot f1_macro 0.6727 rounds to 0.673
R103,6.1 Prompt sensitivity rivals model choice,matched,results/summary/final_table.csv,0.5785 (A/0shot); 0.6727 (B/0shot),9.4 pt,(0.6727-0.5785)*100=9.42pt rounds to 9.4; B>A so B wins confirmed
R104,6.2 Few-shot help is not free,matched,results/summary/final_table.csv,0.803,0.803,mistral7b/FPB/A/0shot f1_macro exact match
R105,6.2 Few-shot help is not free,matched,results/summary/final_table.csv,0.8897,0.890,mistral7b/FPB/A/3shot f1_macro 0.8897 rounds to 0.890
R106,6.2 Few-shot help is not free,matched,results/summary/final_table.csv,0.5989,0.599,mistral7b/FiQA/A/0shot f1_macro 0.5989 rounds to 0.599
R107,6.2 Few-shot help is not free,matched,results/summary/final_table.csv,0.5755,0.576,mistral7b/FiQA/A/3shot f1_macro 0.5755 rounds to 0.576
R108,6.2 Few-shot help is not free,matched,results/summary/final_table.csv,0.5966,0.597,plutus8b/FiQA/A/0shot f1_macro 0.5966 rounds to 0.597
R109,6.2 Few-shot help is not free,matched,results/summary/final_table.csv,0.4965,0.497,plutus8b/FiQA/A/3shot f1_macro 0.4965 rounds to 0.497 (printed precision)
R110,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.6986,0.699,"mean ens_f1 across 6 cells for unweighted/abstain = 0.6986, rounds to 0.699"
R111,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.8867,0.887,mean ens_cov across 6 cells for unweighted/abstain = 0.8867 rounds to 0.887
R112,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.6935,0.694,mean ens_f1 across 6 cells for cv_weighted/abstain = 0.6935 rounds to 0.694
R113,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.9956,0.996,mean ens_cov across 6 cells for cv_weighted/abstain = 0.9956 rounds to 0.996
R114,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.0181,0.02,min d_f1_vs_mean across 6 cells (cv_weighted/abstain) = 0.0181 rounds to 0.02
R115,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.0842,0.08,max d_f1_vs_mean across 6 cells (cv_weighted/abstain) = 0.0842 rounds to 0.08
R116,6.3 A prompt-ensemble buys back robustness,matched,results/summary/ensemble_table.csv,0.9956,100%,cv_weighted mean coverage 0.9956 supports qualitative claim of near-100% coverage
R117,6.4 Gold-label quality,non_checkable,report/report.md,-,75%,section-header reference naming the 75%-agreement split; not a specific data cell
R118,6.4 Gold-label quality,non_checkable,report/report.md,-,100%,section-header reference naming the 100%-agreement split; not a specific data cell
R119,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,"452 (baselines); 300 (LLMs, n_samples)",452; 300,allagree_table.csv shows VADER/FinBERT n=452 and each LLM cell n_samples=300
R120,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,452,452,VADER and FinBERT AllAgree rows both show n_samples=452
R121,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,300,300,every LLM row in allagree_table.csv shows n_samples=300
R122,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,452,452,duplicate of R120 count claim; confirmed 452 baseline n
R123,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,14,14,allagree_table.csv has exactly 14 rows (2 baselines + 4 configs x 3 LLMs)
R124,6.4 Gold-label quality,non_checkable,report/report.md,-,75%,section-header phrase repeat naming comparison axis not a specific value
R125,6.4 Gold-label quality,non_checkable,report/report.md,-,100%,section-header phrase repeat naming comparison axis not a specific value
R126,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.9254,0.925,FinBERT f1_75agree 0.9254 rounds to 0.925
R127,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.977,0.977,FinBERT f1_allagree 0.977 exact match
R128,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.0516,0.052,FinBERT delta 0.0516 rounds to +0.052
R129,6.4 Gold-label quality,matched,results/summary/final_table.csv,mistral7b A/3shot is best FPB config (f1=0.8897),Mistral-7B (A/3-shot),final_table.csv confirms A/3shot is Mistral's highest FPB f1_macro among its 4 configs
R130,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.8897,0.890,Mistral-7B f1_75agree (A/3shot) 0.8897 rounds to 0.890
R131,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.9371,0.937,Mistral-7B f1_allagree (A/3shot) 0.9371 rounds to 0.937
R132,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.0474,0.047,Mistral-7B delta 0.0474 rounds to +0.047
R133,6.4 Gold-label quality,matched,results/summary/final_table.csv,qwen25_7b A/3shot is best FPB config (f1=0.8324),Qwen2.5-7B (A/3-shot),final_table.csv confirms A/3shot is Qwen's highest FPB f1_macro among its 4 configs
R134,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.8324,0.832,Qwen2.5-7B f1_75agree (A/3shot) 0.8324 rounds to 0.832
R135,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,0.9281,0.928,Qwen2.5-7B f1_allagree (A/3shot) 0.9281 rounds to 0.928
R137,6.4 Gold-label quality,matched,report/report.md Table 5,"plutus-8B (A/3-shot, financial)",8B,"Model name/config label row identifier, present as-is in table."
R138,6.4 Gold-label quality,matched,results/summary/fpb_agreement_comparison.csv,f1_75=0.8291,0.829,plutus8b FPB A/3shot rounds to 0.829.
R139,6.4 Gold-label quality,matched,results/summary/allagree_table.csv;bootstrap_ci.csv,f1_macro=0.8508,0.851,plutus AllAgree (proper re-run) 0.8508 rounds to 0.851.
R140,6.4 Gold-label quality,matched,derived (0.851-0.829),0.022,0.022,"Delta of table's own two cells, exact."
R141,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,f1_75agree=0.4694,0.469,VADER 75%-agree F1 rounds to 0.469.
R142,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,f1_allagree=0.4832,0.483,VADER AllAgree F1 rounds to 0.483.
R143,6.4 Gold-label quality,matched,derived (0.483-0.469),0.014,0.014,Delta matches (0.0138 rounds to 0.014).
R144,6.4 Gold-label quality,non_checkable,report/report.md,~5-10 F1 points qualitative range,10,Qualitative descriptive range statement not a single checkable value.
R145,6.4 Gold-label quality,matched,derived (0.928-0.832)*100,9.6,9.6,Qwen delta 75%->100% is 9.6 points exactly.
R146,6.4 Gold-label quality,matched,derived (0.977-0.925)*100,5.2,5.2,FinBERT delta 75%->100% is 5.2 points exactly.
R147,6.4 Gold-label quality,matched,derived (0.937-0.890)*100,4.7,4.7,Mistral delta 75%->100% is 4.7 points exactly.
R148,6.4 Gold-label quality,matched,report/report.md Table 5 header,75%-agree column label,75%,Table column header value literal.
R149,6.4 Gold-label quality,matched,results/summary/agreement_comparison.csv,delta=0.0138,0.014,VADER delta rounds to 0.014 as stated.
R150,6.4 Gold-label quality,matched,report/report.md Table 5 row label,"plutus-8B model, 8B",8B,Model name token in prose sentence.
R151,6.4 Gold-label quality,matched,derived (0.851-0.829),0.022,0.022,plutus delta 75%->100% exact match.
R152,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,f1_macro=0.8508,0.851,plutus AllAgree F1 rounds to 0.851.
R153,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,f1_macro=0.9371,0.937,Mistral AllAgree F1 (A/3shot) rounds to 0.937.
R154,6.4 Gold-label quality,matched,derived (0.937-0.851)*100,8.6,8.6 points,plutus vs Mistral AllAgree gap is 8.6 points exactly.
R155,6.4 Gold-label quality,matched,results/summary/allagree_table.csv,f1_macro=0.9281,0.928,Qwen AllAgree F1 (A/3shot) rounds to 0.928.
R156,6.4 Gold-label quality,matched,derived (0.928-0.851)*100,7.7,7.7,plutus vs Qwen AllAgree gap is 7.7 points exactly.
R157,6.4 Gold-label quality,matched,derived (0.890-0.829)*100,6.1,6-point,plutus vs Mistral 75%-agree gap rounds to 6 points.
R158,6.4 Gold-label quality,matched,derived (0.832-0.829)*100,0.3,0.3-point,plutus vs Qwen 75%-agree gap is 0.3 points exactly.
R159,6.4 Gold-label quality,matched,report/report.md Table 5 header,75%-agree column label,75%,Table column header value literal.
R160,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_lo/ci_hi 0.95 percentile CI,95%,Bootstrap CI is stated as 95% percentile CI (B=2000) per methodology.
R161,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_lo=0.8058,0.806,plutus AllAgree CI lower bound rounds to 0.806.
R162,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_hi=0.8937,0.894,plutus AllAgree CI upper bound rounds to 0.894.
R163,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_lo=0.9082,0.908,Mistral AllAgree CI lower bound rounds to 0.908.
R164,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_hi=0.9644,0.964,Mistral AllAgree CI upper bound rounds to 0.964.
R165,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_lo=0.8961,0.896,Qwen AllAgree CI lower bound rounds to 0.896.
R166,6.4 Gold-label quality,matched,results/summary/bootstrap_ci.csv,ci_hi=0.9548,0.955,Qwen AllAgree CI upper bound rounds up to 0.955.
R167,6.4 Gold-label quality,matched,report/report.md Table 5 header,75%-agree column label,75%,Table column header value literal.
R168,6.4 Gold-label quality,matched,report/report.md sec 6.4 + fpb_agreement_comparison.csv,eval_allagree.py cross-check described,75%,"Report explicitly describes this no-GPU filtering cross-check, consistent w/ fpb_agreement_comparison.csv."
R169,7. Results NER,matched,results/summary_ner/final_table_ner.csv;results/summary/ner_table.csv,plutus lowest strict_f1/macro_f1 among LLMs on both FiNER-ORD and FIN,8B,plutus8b is worst LLM on both NER datasets per both tables.
R170,7. Results NER,matched,results/summary_ner/final_table_ner.csv,n_samples=300 for all model rows,300,All FiNER-ORD rows use n_samples=300 subsample as claimed.
R171,Results NER,matched,results/summary_ner/final_table_ner.csv,model=qwen25_7b,Qwen2.5-7B-Instruct,Row exists in FiNER-ORD table; model name matches report Table 6
R172,Results NER,matched,results/summary_ner/final_table_ner.csv,n_samples=300,300,Qwen2.5-7B-Instruct n=300 on FiNER-ORD matches
R173,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.6279,0.628,Rounds to printed 0.628; matches report Table 6
R174,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=1.0,1.00,Qwen2.5-7B-Instruct coverage 1.00 matches
R175,Results NER,matched,results/summary_ner/final_table_ner.csv,model=qwen3_8b,Qwen3-8B,Row exists in FiNER-ORD table matching report Table 6
R176,Results NER,matched,results/summary_ner/final_table_ner.csv,n_samples=300,300,Qwen3-8B n=300 on FiNER-ORD matches
R177,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.6027,0.603,Rounds to printed 0.603; matches report Table 6
R178,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=1.0,1.00,Qwen3-8B coverage 1.00 matches
R179,Results NER,matched,results/summary_ner/final_table_ner.csv,"model=gliner-small, n_samples=300",300,GLiNER-small n=300 on FiNER-ORD matches
R180,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.5942,0.594,Rounds to printed 0.594; matches report Table 6
R181,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=1.0,1.00,GLiNER-small coverage 1.00 matches
R182,Results NER,matched,results/summary_ner/final_table_ner.csv,"model=gliner-large, n_samples=300",300,GLiNER-large n=300 on FiNER-ORD matches
R183,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.5605,0.561,0.5605 rounds to 0.561 (half-up); matches report Table 6
R184,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=1.0,1.00,GLiNER-large coverage 1.00 matches
R185,Results NER,matched,results/summary_ner/final_table_ner.csv,model=mistral7b,Mistral-7B-Instruct-v0.3,Row exists in FiNER-ORD table matching report Table 6
R186,Results NER,matched,results/summary_ner/final_table_ner.csv,n_samples=300,300,Mistral-7B-Instruct-v0.3 n=300 on FiNER-ORD matches
R187,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.5352,0.535,Rounds to printed 0.535; matches report Table 6
R188,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=1.0,1.00,Mistral-7B-Instruct-v0.3 coverage 1.00 matches
R189,Results NER,matched,results/summary_ner/final_table_ner.csv,model=qwen3_4b,Qwen3-4B,Row exists in FiNER-ORD table matching report Table 6
R190,Results NER,matched,results/summary_ner/final_table_ner.csv,n_samples=300,300,Qwen3-4B n=300 on FiNER-ORD matches
R191,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.4936,0.494,Rounds to printed 0.494; matches report Table 6
R192,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=1.0,1.00,Qwen3-4B coverage 1.00 matches
R193,Results NER,matched,results/summary_ner/final_table_ner.csv,model=plutus8b,plutus-8B-instruct (financial),Row exists in FiNER-ORD table matching report Table 6
R194,Results NER,matched,results/summary_ner/final_table_ner.csv,n_samples=300,300,plutus-8B-instruct n=300 on FiNER-ORD matches
R195,Results NER,matched,results/summary_ner/final_table_ner.csv,strict_f1=0.3649,0.365,Rounds to printed 0.365; matches report Table 6 (worst LLM)
R196,Results NER,matched,results/summary_ner/final_table_ner.csv,coverage=0.8533,0.853,Rounds to printed 0.853; only model with dropped coverage
R197,Results NER,matched,results/summary/ner_table.csv,n_total=98,98,FIN/Alvarado-2015 dataset size 98 matches ner_table.csv and report Table 7 header
R198,Results NER,matched,results/summary/ner_table.csv,model=qwen25_7b,Qwen2.5-7B-Instruct,Row exists in FIN table matching report Table 7
R199,Results NER,matched,results/summary/ner_table.csv,micro_f1=0.1598,0.160,Rounds to printed 0.160; matches report Table 7
R200,Results NER,matched,results/summary/ner_table.csv,coverage=0.8367,0.84,Rounds to printed 0.84; matches report Table 7
R201,Results NER,matched,results/summary/ner_table.csv,model=mistral7b,Mistral-7B-Instruct-v0.3,Row exists in FIN table matching report Table 7
R202,Results NER,matched,results/summary/ner_table.csv,micro_f1=0.1529,0.153,Rounds to printed 0.153; matches report Table 7
R203,Results NER,matched,results/summary/ner_table.csv,coverage=0.9388,0.94,Rounds to printed 0.94; matches report Table 7
R204,Results NER,non_checkable,report/report.md,Mistral-v0.1: 0.00 (paper analog column),Mistral-v0.1: 0.00,External paper-reported analog value; not from project's own runs/artifacts
R205,7. Results — NER,matched,results/summary/ner_table.csv,model=plutus8b; TheFinAI/plutus-8B-instruct,8B,Row identifies plutus-8B-instruct model correctly
R206,7. Results — NER,matched,results/summary/ner_table.csv,micro_f1=0.1068,0.107,0.1068 rounds to 0.107 as printed in report Table (FIN dataset)
R207,7. Results — NER,matched,results/summary/ner_table.csv,coverage=1.0,1.00,plutus-8B FIN coverage 1.0 matches
R208,7. Results — NER,non_checkable,report/report.md,FinLLaMA-instruct: 0.57,0.57,"External paper citation, quoted correctly in report Table 7 analog"
R209,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,plutus strict_f1=0.3649 (lowest); coverage=0.8533,8B,plutus-8B is lowest strict-F1 LLM on FiNER-ORD and only one with coverage<1.0
R210,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,coverage=0.8533,0.853,0.8533 rounds to 0.853 as stated
R211,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,coverage=0.8533,0.853,Duplicate coverage figure confirmed same row
R212,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,gliner_small f1=0.5942/large=0.5605 > mistral=0.5352 & qwen3_4b=0.4936,4B,GLiNER beats Mistral and Qwen3-4B on FiNER-ORD confirmed
R213,7. Results — NER,matched,results/summary_ner/final_table_ner.csv,"qwen25=0.6279, qwen3_8b=0.6027 both > GLiNER",8B,"GLiNER loses only to Qwen2.5 and Qwen3-8B, as claimed"
R214,7. Results — NER,matched,results/summary/ner_table.csv,qwen25_7b micro_f1=0.1598,0.160,"0.1598 rounds to 0.160, best FIN LLM score"
R215,7. Results — NER,non_checkable,report/report.md,FinLLaMA-instruct: 0.57 (paper),0.57,External paper citation repeated correctly
R216,7. Results — NER,matched,results/summary/ner_table.csv,n_total=98,98,FIN dataset n=98 confirmed in ner_table.csv
R217,7. Results — NER,matched,results/summary/ner_table.csv,mistral7b v0.3 micro_f1=0.1529 vs paper v0.1=0.00 -> ~15.3pt gap,15 points,"0.1529-0.00 = 15.3 points, rounds to '15 points' as stated"
R218,7. Results — NER,non_checkable,report/report.md,paper's Mistral-v0.1: 0.00,0.00,"External paper citation, quoted correctly"
R219,7. Results — NER,matched,results/summary/ner_table.csv,mistral7b micro_f1=0.1529,0.153,0.1529 rounds to 0.153 as stated in report
R220,8. Error analysis,matched,results/summary/focal_error_sample.csv,run_id=plutus8b__FPB...,8B,"Section is plutus-8B FPB error analysis, confirmed by run_id prefix"
R221,8. Error analysis,matched,results/summary/focal_error_sample.csv,30 data rows total,30,focal_error_sample.csv has exactly 30 hand-tagged rows
R222,8. Error analysis,matched,results/summary/focal_error_sample.csv,missed_positive_cue count=15,15,"15 rows tagged missed_positive_cue, matches Table 8"
R223,8. Error analysis,matched,results/summary/focal_error_sample.csv,15/30 = 50%,50%,"15 of 30 = 50%, matches Table 8 percentage"
R224,8. Error analysis,matched,results/summary/focal_error_sample.csv,8/30 = 26.7%,27%,"8 of 30 = 26.7%, rounds to 27% as printed"
R225,8. Error analysis,matched,results/summary/focal_error_sample.csv,FPB_00462 text contains '3.7 mln euro',3.7,Value 3.7 present in numerical_reasoning example text
R226,8. Error analysis,matched,results/summary/focal_error_sample.csv,FPB_01472 text contains 'EUR 17.7 mn',17.7,Value 17.7 present in numerical_reasoning example text
R227,8. Error analysis,matched,results/summary/focal_error_sample.csv,FPB_01472 text contains 'EUR 17.6 mn',17.6,Value 17.6 present in numerical_reasoning example text
R228,8. Error analysis,matched,results/summary/focal_error_sample.csv,"factual_neutral_misclassed count=6, 6/30=20%",20%,"6 of 30 = 20%, matches Table 8"
R229,8. Error analysis,matched,results/summary/focal_error_sample.csv,"ambiguous count=1, 1/30=3.3%",3%,"1 of 30 = 3.3%, rounds to 3% as printed"
R230,9. Critical assessment,matched,report/report.md,"plutus-8B is a substitute, not FinLLaMA-instruct (line 375-377)",8B,Qualitative disclaimer verified verbatim in report §9
R231,9. Critical assessment,matched,report/report.md,300-sentence sentiment subsamples and 98-300 NER items (line 378-380),300,Matches final_table.csv n=300 LLM cells for FPB
R232,9. Critical assessment,matched,results/summary/ner_table.csv,n_total=98 (FIN dataset),98,FIN dataset item count 98 confirmed
R233,9. Critical assessment,matched,results/summary/final_table.csv,LLM cells n=300 for FPB,300,"Duplicate of R231, same 300-sample LLM subsample fact"
R234,9. Critical assessment,matched,results/summary/bootstrap_ci.csv,FPB LLM halfwidths 0.0391/0.0467/0.0481; FiQA 0.0504/0.0521/0.0533 (avg ~0.048),300,300-sample LLM run count backing the CI halfwidth claim
R235,9. Critical assessment,matched,results/summary/bootstrap_ci.csv,"halfwidths range 0.0391-0.0533, avg ~0.048",0.045,~0.045 is a reasonable rounded approximation of observed halfwidths
R236,9. Critical assessment,matched,report/report.md,'two-model differences under ~0.06-0.09 F1 are not significant' (line 393),0.06,"Verbatim threshold quoted in report, consistent with CI halfwidths ~0.045"
R237,9. Critical assessment,matched,report/report.md,'two-model differences under ~0.06-0.09 F1 are not significant' (line 393),0.09,"Verbatim threshold quoted in report, consistent with CI halfwidths ~0.045"
R239,10. What we got wrong during the research,matched,report/report.md,plutus-8B substituted for FinLLaMA-instruct (404),8B,Verbatim in report §10 item 1 and Appendix B.
R240,10. What we got wrong during the research,matched,report/report.md,transformers 4.44->4.50,4.44,Verbatim quote from report §10 item 2.
R241,10. What we got wrong during the research,matched,report/report.md,transformers 4.44->4.50,4.50,Verbatim quote from report §10 item 2; consistent with Appendix A env notes.
R242,10. What we got wrong during the research,matched,report/report.md,Qwen3-8B blocked until newer transformers,8B,Verbatim quote from report §10 item 2.
R243,10. What we got wrong during the research,matched,report/report.md,Mistral v0.1 0.00 -> v0.3 0.153 (15.3pt),15 points,FIN table: 0.153-0.00=15.3pt matches '15 points' claim.
R244,10. What we got wrong during the research,matched,report/report.md,finbert-tone no longer instantiates; Unrecognized model error; 75%-agree table,75%,Verbatim quote from report §10 item 7.
R245,10. What we got wrong during the research,matched,report/report.md,11 spurious failures in test_evaluation.py; passes in isolation,11,Verbatim quote from report §10 item 8; test_evaluation.py exists in tests/.
R246,11. Lessons learned,matched,report/report.md,a minor version bump can swing a benchmark by 15 points,15 points,Verbatim quote from report §11; same 15pt Mistral NER swing as R243.
R247,11. Lessons learned,matched,results/summary/fpb_agreement_comparison.csv,75->AllAgree F1 gains: finbert +3.35 finbert_tone +6.48 mistral(A3) +5.9 plutus(A3) +5.89 qwen(A3) +7.95 vader -1.6,10,"5-10pt range approx for learned models; VADER flat; plutus gain (5.89) is roughly tied with/slightly below others, consistent with 'gains least'."
R248,11. Lessons learned,matched,report/report.md,financial-tuned 8B did not earn a default slot anywhere,8B,Verbatim quote from report §11 bullet on right tool for task.
R249,11. Lessons learned,matched,report/report.md,get access to FinMA-7B-full and the real FinLLaMA-instruct,7B,Verbatim quote from report §11 'what we'd do with another month'.
R250,12. Conclusion,matched,report/report.md,financial instruction tuning (plutus-8B) never led -- mid-pack on sentiment worst on NER,8B,Verbatim quote from report §12 conclusion item 1.
R251,Appendix A -- Reproducibility,matched,report/report.md,bootstrap_ci.py -> 95% CIs (needs predictions),95%,Verbatim from Appendix A code block comment.
R252,Appendix A -- Reproducibility,matched,report/report.md,eval_allagree.py: filter 75%-agree to unanimous,75%,Verbatim from Appendix A code block comment.
R253,Appendix A -- Reproducibility,matched,report/report.md,make_agreement_figure.py -> agreement_comparison.csv + figure (75% vs 100%),100%,Verbatim from Appendix A code block comment.
R254,Appendix A -- Reproducibility,matched,report/report.md,re-run inference on Modal T4 -- costs ~$1 needs HF_TOKEN,$1,",Verbatim from Appendix A code block comment."
R255,Appendix A -- Reproducibility,matched,report/report.md,run_allagree.py: 100%-agreement (AllAgree) matrix,100%,Verbatim from Appendix A code block comment.
R256,Appendix A -- Reproducibility,matched,report/report.md,transformers >= 4.50 ... required for plutus-8B,4.50,Verbatim from Appendix A env notes.
R257,Appendix A -- Reproducibility,matched,report/report.md,transformers >= 4.50 ... required for plutus-8B,8B,Verbatim from Appendix A env notes.
R258,Appendix A -- Reproducibility,matched,report/report.md,Qwen3 needs >= 4.51,4.51,Verbatim from Appendix A env notes.
R259,Appendix A -- Reproducibility,mismatched,results/_modal_spend.json,total_usd 1.1445 (~$1.14),$1.3,"Ledger sums to ~$1.14 (116 GPU-min), report claims ~$1.3 -- ~13% high, not just rounding. (recheck) report/report.md line 518 states '~$1.3 of Modal T4 time'. results/_modal_spend.json total_usd=1.1698 (stored) / ~1.176 recomputed; worker-cited ~1.1445 is a subset variant. All are ~$1.1-1.18, not $1.3 (rounds to $1.2). ~10%+ overstatement, wrong leading value. Mismatched."
