claim_id,section,sentence,metric_type,value,context_keys
R060,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Mistral-7B-Instruct-v0.3 (general)' col='FPB Acc' cell='0.903' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.903,Instruct; FPB
R061,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Mistral-7B-Instruct-v0.3 (general)' col='FiQA F1ₘ' cell='0.599' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.599,Instruct; FiQA
R062,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Mistral-7B-Instruct-v0.3 (general)' col='FiQA Acc' cell='0.620' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.620,Instruct; FiQA
R063,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Qwen2.5-7B-Instruct (general)' col='Model' cell='Qwen2.5-7B-Instruct (general)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),count,7B,Instruct
R064,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Qwen2.5-7B-Instruct (general)' col='FPB F1ₘ' cell='0.832' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.832,Instruct; FPB
R065,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Qwen2.5-7B-Instruct (general)' col='FPB Acc' cell='0.860' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.860,Instruct; FPB
R066,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Qwen2.5-7B-Instruct (general)' col='FiQA F1ₘ' cell='0.673' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.673,Instruct; FiQA
R067,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='Qwen2.5-7B-Instruct (general)' col='FiQA Acc' cell='0.717' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.717,Instruct; FiQA
R068,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='plutus-8B-instruct (financial)' col='Model' cell='plutus-8B-instruct (financial)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),count,8B,Instruct
R069,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='plutus-8B-instruct (financial)' col='FPB F1ₘ' cell='0.829' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.829,Instruct; FPB
R070,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='plutus-8B-instruct (financial)' col='FPB Acc' cell='0.851' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.851,Instruct; FPB
R071,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='plutus-8B-instruct (financial)' col='FiQA F1ₘ' cell='0.597' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.597,Instruct; FiQA
R072,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='plutus-8B-instruct (financial)' col='FiQA Acc' cell='0.657' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.657,Instruct; FiQA
R073,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='VADER (lexicon)' col='FPB F1ₘ' cell='0.469' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.469,VADER; FPB
R074,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='VADER (lexicon)' col='FPB Acc' cell='0.554' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.554,VADER; FPB
R075,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='VADER (lexicon)' col='FiQA F1ₘ' cell='0.386' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.386,VADER; FiQA
R076,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,[Table 2] row='VADER (lexicon)' col='FiQA Acc' cell='0.423' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER),f1_macro,0.423,VADER; FiQA
R077,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Significance. 95% bootstrap CIs (2,000 resamples; bootstrap_ci.py) are ≈±0.04–0.05 for the 300-sentence LLM runs and ±0.02–0.03 for the full-test baselines.",percent,95%,
R078,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Significance. 95% bootstrap CIs (2,000 resamples; bootstrap_ci.py) are ≈±0.04–0.05 for the 300-sentence LLM runs and ±0.02–0.03 for the full-test baselines.",f1_macro,0.04,
R079,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Significance. 95% bootstrap CIs (2,000 resamples; bootstrap_ci.py) are ≈±0.04–0.05 for the 300-sentence LLM runs and ±0.02–0.03 for the full-test baselines.",f1_macro,0.05,
R080,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Significance. 95% bootstrap CIs (2,000 resamples; bootstrap_ci.py) are ≈±0.04–0.05 for the 300-sentence LLM runs and ±0.02–0.03 for the full-test baselines.",count,300,
R081,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Significance. 95% bootstrap CIs (2,000 resamples; bootstrap_ci.py) are ≈±0.04–0.05 for the 300-sentence LLM runs and ±0.02–0.03 for the full-test baselines.",f1_macro,0.02,
R082,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Significance. 95% bootstrap CIs (2,000 resamples; bootstrap_ci.py) are ≈±0.04–0.05 for the 300-sentence LLM runs and ±0.02–0.03 for the full-test baselines.",f1_macro,0.03,
R083,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Differences smaller than that are not significant — so on FPB plutus≈Qwen (CIs [0.776, 0.873] vs [0.784, 0.878]) are statistically tied, and FinBERT’s FPB lead over Mistral is within noise.",f1_macro,0.776,FinBERT; FPB
R084,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Differences smaller than that are not significant — so on FPB plutus≈Qwen (CIs [0.776, 0.873] vs [0.784, 0.878]) are statistically tied, and FinBERT’s FPB lead over Mistral is within noise.",f1_macro,0.873,FinBERT; FPB
R085,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Differences smaller than that are not significant — so on FPB plutus≈Qwen (CIs [0.776, 0.873] vs [0.784, 0.878]) are statistically tied, and FinBERT’s FPB lead over Mistral is within noise.",f1_macro,0.784,FinBERT; FPB
R086,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"Differences smaller than that are not significant — so on FPB plutus≈Qwen (CIs [0.776, 0.873] vs [0.784, 0.878]) are statistically tied, and FinBERT’s FPB lead over Mistral is within noise.",f1_macro,0.878,FinBERT; FPB
R087,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,Financial tuning didn’t pull ahead. plutus-8B is solid but mid-pack.,count,8B,
R088,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"FinBERT tops FPB (0.925; though within noise of Mistral) but collapses on FiQA (0.482) — a 44-point drop, far outside any CI, on a different financial register (microblog/news).",f1_macro,0.925,FinBERT; FPB; FiQA
R089,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"FinBERT tops FPB (0.925; though within noise of Mistral) but collapses on FiQA (0.482) — a 44-point drop, far outside any CI, on a different financial register (microblog/news).",f1_macro,0.482,FinBERT; FPB; FiQA
R090,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > An Implementation Report Reproducing Open-FinLLMs on Financial Sentiment and NER,"FinBERT tops FPB (0.925; though within noise of Mistral) but collapses on FiQA (0.482) — a 44-point drop, far outside any CI, on a different financial register (microblog/news).",percent,44-point,FinBERT; FPB; FiQA
R091,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Mistral-7B · FPB' col='Model · dataset' cell='Mistral-7B · FPB' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),count,7B,FPB
R092,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Mistral-7B · FPB' col='Template A (F1ₘ)' cell='0.803' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),f1_macro,0.803,FPB; template
R093,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Mistral-7B · FPB' col='Template B (F1ₘ)' cell='0.689' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),f1_macro,0.689,FPB; template
R094,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Mistral-7B · FPB' col='Gap' cell='11.4 pt' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),percent,11.4 pt,FPB
R095,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='plutus-8B · FiQA' col='Model · dataset' cell='plutus-8B · FiQA' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),count,8B,FiQA
R096,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='plutus-8B · FiQA' col='Template A (F1ₘ)' cell='0.597' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),f1_macro,0.597,FiQA; template
R097,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='plutus-8B · FiQA' col='Template B (F1ₘ)' cell='0.432' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),f1_macro,0.432,FiQA; template
R098,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='plutus-8B · FiQA' col='Gap' cell='16.4 pt (26 pt accuracy)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),accuracy,16.4 pt,FiQA
R099,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='plutus-8B · FiQA' col='Gap' cell='16.4 pt (26 pt accuracy)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),accuracy,26 pt,FiQA
R100,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Qwen2.5-7B · FiQA' col='Model · dataset' cell='Qwen2.5-7B · FiQA' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),count,7B,FiQA
R101,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Qwen2.5-7B · FiQA' col='Template A (F1ₘ)' cell='0.579' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),f1_macro,0.579,FiQA; template
R102,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Qwen2.5-7B · FiQA' col='Template B (F1ₘ)' cell='0.673' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),f1_macro,0.673,FiQA; template
R103,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice,[Table 3] row='Qwen2.5-7B · FiQA' col='Gap' cell='9.4 pt (B wins)' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.1 Prompt sensitivity rivals model choice),percent,9.4 pt,FiQA
R104,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.2 Few-shot help is not free,Few-shot examples help on FPB (Mistral A: 0.803 → 0.890) but hurt on FiQA (Mistral A: 0.599 → 0.576; plutus A: 0.597 → 0.497) — the FPB-sampled exemplars are off-distribution for FiQA’s microblog text and drag performance down. “Add few-shot” is not a universal win; it depends on whether the exemplars match the target register.,f1_macro,0.803,FPB; FiQA; few-shot; shot
R105,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.2 Few-shot help is not free,Few-shot examples help on FPB (Mistral A: 0.803 → 0.890) but hurt on FiQA (Mistral A: 0.599 → 0.576; plutus A: 0.597 → 0.497) — the FPB-sampled exemplars are off-distribution for FiQA’s microblog text and drag performance down. “Add few-shot” is not a universal win; it depends on whether the exemplars match the target register.,f1_macro,0.890,FPB; FiQA; few-shot; shot
R106,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.2 Few-shot help is not free,Few-shot examples help on FPB (Mistral A: 0.803 → 0.890) but hurt on FiQA (Mistral A: 0.599 → 0.576; plutus A: 0.597 → 0.497) — the FPB-sampled exemplars are off-distribution for FiQA’s microblog text and drag performance down. “Add few-shot” is not a universal win; it depends on whether the exemplars match the target register.,f1_macro,0.599,FPB; FiQA; few-shot; shot
R107,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.2 Few-shot help is not free,Few-shot examples help on FPB (Mistral A: 0.803 → 0.890) but hurt on FiQA (Mistral A: 0.599 → 0.576; plutus A: 0.597 → 0.497) — the FPB-sampled exemplars are off-distribution for FiQA’s microblog text and drag performance down. “Add few-shot” is not a universal win; it depends on whether the exemplars match the target register.,f1_macro,0.576,FPB; FiQA; few-shot; shot
R108,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.2 Few-shot help is not free,Few-shot examples help on FPB (Mistral A: 0.803 → 0.890) but hurt on FiQA (Mistral A: 0.599 → 0.576; plutus A: 0.597 → 0.497) — the FPB-sampled exemplars are off-distribution for FiQA’s microblog text and drag performance down. “Add few-shot” is not a universal win; it depends on whether the exemplars match the target register.,f1_macro,0.597,FPB; FiQA; few-shot; shot
R109,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.2 Few-shot help is not free,Few-shot examples help on FPB (Mistral A: 0.803 → 0.890) but hurt on FiQA (Mistral A: 0.599 → 0.576; plutus A: 0.597 → 0.497) — the FPB-sampled exemplars are off-distribution for FiQA’s microblog text and drag performance down. “Add few-shot” is not a universal win; it depends on whether the exemplars match the target register.,f1_macro,0.497,FPB; FiQA; few-shot; shot
R110,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),[Table 4] row='Unweighted majority (abstain on tie)' col='Mean F1ₘ (6 cells)' cell='0.699' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution)),f1_macro,0.699,
R111,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),[Table 4] row='Unweighted majority (abstain on tie)' col='Mean coverage' cell='0.887' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution)),coverage,0.887,
R112,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),[Table 4] row='CV-weighted vote' col='Mean F1ₘ (6 cells)' cell='0.694' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution)),f1_macro,0.694,
R113,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),[Table 4] row='CV-weighted vote' col='Mean coverage' cell='0.996' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution)),coverage,0.996,
R114,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),The ensemble reliably beats the expected single prompt (the one you would pick blind) on every cell — per-cell gains of +0.02 to +0.08 F1 — and never collapses.,f1_macro,0.02,
R115,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),The ensemble reliably beats the expected single prompt (the one you would pick blind) on every cell — per-cell gains of +0.02 to +0.08 F1 — and never collapses.,f1_macro,0.08,
R116,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.3 A prompt-ensemble buys back robustness (methodological contribution),The CV-weighted vote is the deployable choice: it keeps ~100% coverage (no abstentions) at almost the same F1.,f1_macro,100%,
R117,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,6.4 Gold-label quality: 75% vs 100% annotator agreement,percent,75%,
R118,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,6.4 Gold-label quality: 75% vs 100% annotator agreement,percent,100%,
R119,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,"A model is only as trustworthy as the labels it is scored against, so we re-ran the full pipeline on FPB’s 100%-agreement (AllAgree) split — the same models, templates, and shots as the headline, but on the 452-sentence unanimous-label test set (300-sentence subsample for the LLMs; baselines on all 452).",percent,100%,FPB; template; shot
R120,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,"A model is only as trustworthy as the labels it is scored against, so we re-ran the full pipeline on FPB’s 100%-agreement (AllAgree) split — the same models, templates, and shots as the headline, but on the 452-sentence unanimous-label test set (300-sentence subsample for the LLMs; baselines on all 452).",count,452,FPB; template; shot
R121,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,"A model is only as trustworthy as the labels it is scored against, so we re-ran the full pipeline on FPB’s 100%-agreement (AllAgree) split — the same models, templates, and shots as the headline, but on the 452-sentence unanimous-label test set (300-sentence subsample for the LLMs; baselines on all 452).",count,300,FPB; template; shot
R122,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,"A model is only as trustworthy as the labels it is scored against, so we re-ran the full pipeline on FPB’s 100%-agreement (AllAgree) split — the same models, templates, and shots as the headline, but on the 452-sentence unanimous-label test set (300-sentence subsample for the LLMs; baselines on all 452).",count,452,FPB; template; shot
R123,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,"This is a proper re-evaluation, not a re-weighting (a separate 14-cell run on Modal; run_allagree.py).",count,14,
R124,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,FPB macro-F1 at 75% vs 100% annotator agreement,f1_macro,75%,FPB
R125,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,FPB macro-F1 at 75% vs 100% annotator agreement,f1_macro,100%,FPB
R126,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,[Table 5] row='FinBERT' col='F1ₘ @ 75%-agree' cell='0.925' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement),f1_macro,0.925,FinBERT
R127,Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement,[Table 5] row='FinBERT' col='F1ₘ @ 100%-agree' cell='0.977' (section: Does Financial Instruction Tuning Actually Help? > Does Financial Instruction Tuning Actually Help? > 6. Results — sentiment > 6.4 Gold-label quality: 75% vs 100% annotator agreement),f1_macro,0.977,FinBERT
